chain	start	end	A	B	tags
chr1:a	0	100000	0	1	cen,B
chr1:a	100000	200000	0	1	cen,B
chr1:a	200000	300000	0	1	cen,B
chr1:a	300000	400000	0	1	cen,B
chr1:a	400000	500000	0	1	cen,B
chr1:a	500000	600000	0	1	cen,B
chr1:a	600000	700000	0	1	cen,B
chr1:a	700000	800000	0	1	cen,B
chr1:a	800000	900000	0	1	cen,B
chr1:a	900000	1000000	0	1	cen,B
chr1:a	1000000	1100000	0	1	cen,B
chr1:a	1100000	1200000	0	1	cen,B
chr1:a	1200000	1300000	0	1	cen,B
chr1:a	1300000	1400000	0	1	cen,B
chr1:a	1400000	1500000	0	1	cen,B
chr1:a	1500000	1600000	0	1	cen,B
chr1:a	1600000	1700000	0	1	cen,B
chr1:a	1700000	1800000	0	1	cen,B
chr1:a	1800000	1900000	0	1	cen,B
chr1:a	1900000	2000000	0	1	cen,B
chr1:a	2000000	2100000	0	1	cen,B
chr1:a	2100000	2200000	0	1	cen,B
chr1:a	2200000	2300000	0	1	cen,B
chr1:a	2300000	2400000	0	1	cen,B
chr1:a	2400000	2500000	0	1	cen,B
chr1:a	2500000	2600000	0	1	cen,B
chr1:a	2600000	2700000	0	1	cen,B
chr1:a	2700000	2800000	0	1	cen,B
chr1:a	2800000	2900000	0	1	cen,B
chr1:a	2900000	3000000	0	1	cen,B
chr1:a	3000000	3100000	0	1	B
chr1:a	3100000	3200000	0	1	B
chr1:a	3200000	3300000	0	1	B
chr1:a	3300000	3400000	0	1	B
chr1:a	3400000	3500000	0	1	B
chr1:a	3500000	3600000	0	1	B
chr1:a	3600000	3700000	0	1	B
chr1:a	3700000	3800000	0	1	B
chr1:a	3800000	3900000	0	1	B
chr1:a	3900000	4000000	0	1	B
chr1:a	4000000	4100000	0	1	B
chr1:a	4100000	4200000	0	1	B
chr1:a	4200000	4300000	1	0	A
chr1:a	4300000	4400000	1	0	A
chr1:a	4400000	4500000	1	0	A
chr1:a	4500000	4600000	1	0	A
chr1:a	4600000	4700000	1	0	A
chr1:a	4700000	4800000	1	0	A
chr1:a	4800000	4900000	1	0	A
chr1:a	4900000	5000000	1	0	A
chr1:a	5000000	5100000	1	0	A
chr1:a	5100000	5200000	0	1	B
chr1:a	5200000	5300000	0	1	B
chr1:a	5300000	5400000	0	1	B
chr1:a	5400000	5500000	0	1	B
chr1:a	5500000	5600000	0	1	B
chr1:a	5600000	5700000	0	1	B
chr1:a	5700000	5800000	0	1	B
chr1:a	5800000	5900000	0	1	B
chr1:a	5900000	6000000	0	1	B
chr1:a	6000000	6100000	1	0	A
chr1:a	6100000	6200000	1	0	A
