chrom	start	end	score
chr1	0	100000	nan
chr1	100000	200000	nan
chr1	200000	300000	nan
chr1	300000	400000	nan
chr1	400000	500000	nan
chr1	500000	600000	nan
chr1	600000	700000	nan
chr1	700000	800000	nan
chr1	800000	900000	0.343229
chr1	900000	1000000	0.419864
chr1	1000000	1100000	0.391749
chr1	1100000	1200000	0.452847
chr1	1200000	1300000	0.379088
chr1	1300000	1400000	0.307863
chr1	1400000	1500000	0.427736
chr1	1500000	1600000	0.444203
chr1	1600000	1700000	0.388814
chr1	1700000	1800000	0.291357
chr1	1800000	1900000	0.513554
chr1	1900000	2000000	0.286224
chr1	2000000	2100000	0.291257
chr1	2100000	2200000	0.297532
chr1	2200000	2300000	0.428631
chr1	2300000	2400000	0.411231
chr1	2400000	2500000	0.418492
chr1	2500000	2600000	0.358237
chr1	2600000	2700000	0.296885
chr1	2700000	2800000	nan
chr1	2800000	2900000	0.296168
chr1	2900000	3000000	0.312419
chr1	3000000	3100000	0.324103
chr1	3100000	3200000	0.30625
chr1	3200000	3300000	0.287915
chr1	3300000	3400000	0.281343
chr1	3400000	3500000	0.327409
chr1	3500000	3600000	0.38087
chr1	3600000	3700000	0.405982
chr1	3700000	3800000	0.377628
chr1	3800000	3900000	0.375202
chr1	3900000	4000000	0.308712
chr1	4000000	4100000	0.313207
chr1	4100000	4200000	0.315416
chr1	4200000	4300000	0.292267
chr1	4300000	4400000	0.277162
chr1	4400000	4500000	0.27943
chr1	4500000	4600000	0.288312
chr1	4600000	4700000	0.258053
chr1	4700000	4800000	0.305618
chr1	4800000	4900000	0.284065
chr1	4900000	5000000	0.278578
chr1	5000000	5100000	0.289072
chr1	5100000	5200000	0.285657
chr1	5200000	5300000	0.294314
chr1	5300000	5400000	0.297458
chr1	5400000	5500000	0.277191
chr1	5500000	5600000	0.283796
chr1	5600000	5700000	0.314932
chr1	5700000	5800000	0.297383
chr1	5800000	5900000	0.354602
chr1	5900000	6000000	0.342036
chr1	6000000	6100000	0.354338
chr1	6100000	6200000	0.406837
chr1	6200000	6300000	0.270059
chr1	6300000	6400000	0.38238
chr1	6400000	6500000	0.351702
chr1	6500000	6600000	0.351865
chr1	6600000	6700000	0.360235
chr1	6700000	6800000	0.4141
chr1	6800000	6900000	0.520255
chr1	6900000	7000000	0.313551
chr1	7000000	7100000	0.321543
chr1	7100000	7200000	0.317837
